Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Clue,TPIP,Fallout Tokens,11,normal,common,1,92252,65ff5544-bdf8-43a3-a74d-4a2b7d79245a,0.35,false,false,near_mint,en,USD
Spirit,TLTR,Tales of Middle-earth Tokens,3,normal,common,1,83093,57b674ef-f541-4ee8-9727-1c5b3c0c8f4e,0.39,false,false,near_mint,en,USD
Bird,TLCC,The Lost Caverns of Ixalan Commander Tokens,2,normal,common,1,88678,8ccdac6c-5bce-4f39-a7d9-b459f5113812,0.39,false,false,near_mint,en,USD
Knight,TWOE,Wilds of Eldraine Tokens,3,normal,common,1,85211,f4035134-a162-4651-86c5-ae006b6e0e20,,false,false,near_mint,en,USD
Bird,TWOE,Wilds of Eldraine Tokens,1,normal,common,1,85185,4b0c59f8-b407-47e7-8885-8c968f4ceecf,,false,false,near_mint,en,USD
Elemental,TWOE,Wilds of Eldraine Tokens,9,normal,common,1,85214,ff615495-a230-484e-a858-ead84f880bdd,,false,false,near_mint,en,USD
Food,TTLA,Avatar: The Last Airbender Tokens,21,normal,common,2,109985,d0e54f01-1301-481f-ace0-87966b5135f0,,false,false,near_mint,en,USD
Clue,TTLA,Avatar: The Last Airbender Tokens,17,normal,common,2,109972,98bdb578-e81e-40f9-9c06-b2867158baef,,false,false,near_mint,en,USD
Ally,TTLA,Avatar: The Last Airbender Tokens,6,normal,common,2,109950,3f9ab0ca-fe08-4d90-9c54-3137620647cb,,false,false,near_mint,en,USD
Copy,TTLA,Avatar: The Last Airbender Tokens,2,normal,common,2,109963,6f361ecd-045d-43a3-bb1b-83c23f070ff8,,false,false,near_mint,en,USD
Dragon,TTLA,Avatar: The Last Airbender Tokens,9,foil,common,1,109983,cddc0746-6d3e-441f-866f-28587bf54801,,false,false,near_mint,en,USD
Food,TTLA,Avatar: The Last Airbender Tokens,19,foil,common,1,109987,db202f04-61e7-4e12-848e-6c1761956a58,,false,false,near_mint,en,USD
Faerie Rogue,TMOR,Morningtide Tokens,2,normal,common,1,24873,1666cae8-8750-4091-8e45-259e76268db9,2.49,false,false,near_mint,en,USD
Soldier,TUMA,Ultimate Masters Tokens,11,normal,common,1,43508,039b8e44-b435-4e05-b94c-02c4dda11943,0.39,false,false,near_mint,en,USD
Snake,THOU,Hour of Devastation Tokens,11,normal,common,1,4678,57708b3d-ddfb-4924-b5c9-123aa9e967ad,0.39,false,false,near_mint,en,USD
Cat Soldier,TBNG,Born of the Gods Tokens,2,normal,common,1,14793,921d6192-6b6d-4aa1-be80-bc0b9f503e33,1.29,false,false,near_mint,ja,USD
Elemental,TOGW,Oath of the Gatewatch Tokens,9,normal,common,1,9187,bc6f27f7-0248-4c04-8022-41073966e4d8,0.35,false,false,near_mint,en,USD
Insect,TA25,Masters 25 Tokens,12,normal,common,2,2719,43d7c6dc-4d0b-4a05-8b79-5dd728a74bb3,0.59,false,false,near_mint,en,USD
Cat,TFDN,Foundations Tokens,2,normal,common,1,101599,d16213b5-c0da-4a24-9f2e-b9432652859e,,false,false,near_mint,en,USD
Goblin,TCMM,Commander Masters Tokens,27,normal,common,2,84285,419c1799-1525-44ec-9f6c-dfc290f04ba7,0.35,false,false,near_mint,en,USD
Soldier,TMH1,Modern Horizons Tokens,4,normal,common,2,44951,c61b83cf-791a-48bf-81c8-c6c940b89d83,0.35,false,false,near_mint,en,USD
Spirit,TSOI,Shadows over Innistrad Tokens,3,normal,common,1,8696,3a53a7c6-6b32-4491-8c96-e564abea8880,0.35,false,false,near_mint,en,USD
Bird,TM12,Magic 2012 Tokens,1,normal,common,1,19017,b6311cc7-8431-43a3-83ec-b2a5f07acf56,0.35,false,false,near_mint,en,USD
Demon,TINR,Innistrad Remastered Tokens,6,normal,common,1,102453,1f75f7a3-b4d2-40e1-9721-cbe6a63971ba,,false,false,near_mint,en,USD
Frog Lizard,TTDC,Tarkir: Dragonstorm Commander Tokens,21,normal,common,1,104423,018e138e-adef-45db-ae2a-31f0c98658ed,,false,false,near_mint,en,USD
Bird,TTDM,Tarkir: Dragonstorm Tokens,2,normal,common,1,104683,6105623a-ff2c-46bf-8881-e8b899d47d54,,false,false,near_mint,en,USD
Monk,TTDM,Tarkir: Dragonstorm Tokens,3,normal,common,1,104688,633d2d10-def7-426f-8496-ed6b45684299,,false,false,near_mint,en,USD
Tentacle,TLTR,Tales of Middle-earth Tokens,4,normal,common,1,83623,eea4e628-4ae2-4e33-a3b6-176ed87c1840,0.59,false,false,near_mint,en,USD
Timeless Witness,TTDC,Tarkir: Dragonstorm Commander Tokens,11,normal,common,1,104438,0902163b-9a92-4df3-afdd-396db24c7fd4,,false,false,near_mint,en,USD
Treasure,TSPM,Marvel's Spider-Man Tokens,7,normal,common,3,108663,d52efeb3-661d-45e9-97c3-af167f889684,,false,false,near_mint,en,USD
Ticket Bucket-Bot,TUNF,Unfinity Tokens,14,normal,common,1,73360,52942a5c-0552-4a9b-9c0f-7a9ffd04d0af,0.35,false,false,near_mint,en,USD
Storm Crow,TUNF,Unfinity Tokens,5,normal,common,1,73356,32c73960-1dd9-4f11-81b3-2ae4d3a5e283,0.79,false,false,near_mint,en,USD
Treasure,TSTX,Strixhaven: School of Mages Tokens,7,normal,common,1,58887,1a2d027f-8996-4761-a776-47cd428f6779,0.39,false,false,near_mint,ja,USD
Construct,TNEO,Kamigawa: Neon Dynasty Tokens,15,normal,common,1,67107,2770f887-7e96-44d1-864a-8c0504a39785,0.35,false,false,near_mint,en,USD
Hero,TFIN,Final Fantasy Tokens,8,normal,common,1,106008,7fc68b53-e23d-4762-aa53-e634e856be47,,false,false,near_mint,en,USD
Radiation,TPIP,Fallout Tokens,22,normal,common,1,91849,0886657d-afb0-4f1f-9af7-960724793077,0.35,false,false,near_mint,en,USD
